id,full name,schol grade,email,gender,height,weight,speciality
975,Bev Widdecombe,14,bwiddecomber2@people.com.cn,Male,1.4,86.57,Research and Development
976,Leo Bentz,15,lbentzr3@moonfruit.com,Male,1.86,72.84,Business Development
977,Teodorico Hastewell,10,thastewellr4@patch.com,Male,1.91,86.26,Support
978,Urson Tailby,12,utailbyr5@merriam-webster.com,Male,1.94,65.03,Business Development
979,Leonerd Piechnik,10,lpiechnikr6@unblog.fr,Male,1.09,72.24,Support
980,Di McMurthy,18,dmcmurthyr7@live.com,Genderqueer,1.9,60.37,Research and Development
981,Ardene Toner,17,atonerr8@fastcompany.com,Female,1.8,63.41,Accounting
982,Melvyn Haggart,10,mhaggartr9@hubpages.com,Male,1.41,81.61,Product Management
983,Cindy Ruzic,11,cruzicra@fastcompany.com,Female,1.46,75.23,Support
984,Denys Reihm,12,dreihmrb@123-reg.co.uk,Female,1.85,84.01,Research and Development
985,Debera Weepers,11,dweepersrc@cnn.com,Female,1.6,78.44,Engineering
986,Iago Whisker,16,iwhiskerrd@vkontakte.ru,Genderqueer,1.52,82.17,Legal
987,Peyton McRavey,17,pmcraveyre@123-reg.co.uk,Male,1.17,84.03,Support
988,Tremain Horning,15,thorningrf@accuweather.com,Male,1.55,61.08,Training
989,Merrielle Skoate,15,mskoaterg@mapquest.com,Female,1.55,74.24,Support
990,Noby O' Quirk,10,norh@dailymail.co.uk,Male,1.17,73.53,Sales
991,Irina Gallehock,11,igallehockri@artisteer.com,Genderfluid,1.41,71.94,Accounting
992,Thor Isson,17,tissonrj@google.pl,Male,1.22,64.2,Sales
993,Karee Maloney,16,kmaloneyrk@newyorker.com,Female,1.21,64.06,Product Management
994,Egon Kingwell,19,ekingwellrl@cisco.com,Male,1.12,65.87,Accounting
995,Ciel Joll,13,cjollrm@uiuc.edu,Female,1.95,79.21,Marketing
996,Kev Joyes,15,kjoyesrn@wsj.com,Male,1.92,74.51,Accounting
997,Hugues Voak,18,hvoakro@cnn.com,Male,1.31,68.53,Legal
998,Teddie Aizikovitch,17,taizikovitchrp@cnet.com,Female,1.93,75.21,Legal
999,Catharina Fraanchyonok,10,cfraanchyonokrq@ifeng.com,Female,1.45,68.49,Business Development
1000,Laney Copestake,11,lcopestakerr@woothemes.com,Male,1.02,65.52,Training
